Product_SKU,Customer_ID,Country,Quarter,Sales_Rep_ID,Units_Sold,Price_Per_Unit,Sales_Cycle_Length,Product_Category,Contract_Type,Customer_Tier,Previous_Quarter_Units,Discount_Percentage,Competitive_Situation,Region,Total_Revenue,Previous_Quarter_Revenue,Revenue_Growth_Rate,Effective_Price,Conversion_Proxy,Reliability_Score,Market_Access_Score,Market_Share_Pct,Competitor_Price_Avg,Market_Size_MM,Win_Rate_Pct,Customer_Satisfaction,Clinical_Outcome_Score,Reimbursement_Coverage_Pct,Growth_Rate_Pct,Competitive_Intensity,Number_Of_Competitors,New_Market_Entrants,Brand_Perception_Score,Value_Proposition_Rating,Marketing_Spend,Trade_Show_Presence,Avg_Reimbursement_Amount,Denial_Rate_Pct,Training_Time_Hours,Adverse_Events,Product_Age_Months,Warranty_Claims,NPS_Score,Average_Case_Duration,Physician_Preference_Rating
AFO-101,CUST001,Germany,20251,SR003,32,514.94,21,Orthosis,Volume-Based,C,,3.79,Oligopoly,Europe,15853.56,,,495.42377400000000,0.047619047619047600,80,70,12.49,484.0436,67.1,76.9,80.0,81.8,85.9,2.66,7.1,5,No,90.8,70.2,13824.0,Low,363.52,17.95,12.0,1,18,2,91.4,31.8,82.2
AFO-101,CUST001,Germany,20251,SR001,41,428.94,152,Splint,Fixed,A,32.0,13.22,Highly Competitive,Europe,15261.6,15853.56,-0.0373,372.234132,0.006578947368421050,80,70,24.01,433.2294,64.5,81.9,88.2,84.2,66.9,3.01,8.1,6,Yes,77.9,73.1,27626.0,Low,397.01,0.76,9.8,1,41,2,66.4,45.4,94.7
AFO-101,CUST001,Germany,20251,SR003,40,559.13,76,Splint,Fixed,B,41.0,16.81,Monopoly,Europe,18605.61,15261.6,0.2191,465.140247,0.013157894736842100,80,70,19.64,598.2691,183.1,60.0,86.6,95.6,94.9,3.48,8.3,4,Yes,62.9,79.0,37056.0,High,946.41,19.06,4.2,0,12,1,50.7,83.9,76.7
AFO-101,CUST001,Brazil,20251,SR003,47,753.07,160,Brace,Fixed,A,40.0,16.76,Highly Competitive,LATAM,29462.21,18605.61,0.5835,626.8554680000000,0.00625,80,70,16.97,790.7235000000000,64.9,75.0,65.4,80.2,84.5,6.1,1.8,7,No,81.6,63.6,17016.0,High,804.57,13.29,1.4,2,10,3,82.6,53.3,75.9
AFO-101,CUST001,France,20254,SR001,25,226.36,98,Orthosis,Fixed,C,47.0,4.1,Oligopoly,Europe,5426.98,29462.21,-0.8158,217.07924,0.01020408163265310,80,70,8.12,239.94160000000000,69.0,72.9,65.2,96.1,66.3,9.94,6.6,7,Yes,60.3,68.2,30529.0,Medium,831.76,18.83,12.6,1,24,0,83.6,84.4,83.2
FAO-301,CUST001,Brazil,20251,SR001,5,342.1,144,Orthosis,Volume-Based,B,,9.57,Monopoly,LATAM,1546.81,,,309.36103,0.006944444444444440,80,70,8.12,352.36300000000000,156.7,83.3,69.4,72.6,98.5,7.22,1.1,2,No,87.2,75.2,27017.0,High,283.81,3.99,18.5,1,24,1,83.0,43.4,72.7
FAO-301,CUST001,India,20254,SR003,1,687.03,104,Orthosis,Volume-Based,C,5.0,23.37,Highly Competitive,Asia,526.47,1546.81,-0.6596,526.471089,0.009615384615384620,80,70,6.16,714.5112,101.0,86.2,72.6,93.3,80.7,2.49,1.4,2,Yes,82.8,69.5,45622.0,Low,869.05,0.81,3.0,1,53,3,15.8,35.9,88.4
FAO-302,CUST001,Germany,20253,SR003,24,308.65,109,Splint,Volume-Based,A,,22.19,Monopoly,Europe,5763.85,,,240.160565,0.009174311926605510,80,70,22.32,330.2555,159.8,50.5,74.3,95.4,62.9,6.2,9.1,2,No,67.4,89.7,27183.0,Low,526.55,9.76,5.0,0,51,4,2.5,54.7,69.9
Ponseti-201,CUST001,Germany,20253,SR001,31,133.66,23,Brace,Volume-Based,A,,2.1,Monopoly,Europe,4056.45,,,130.85314,0.043478260869565200,80,70,17.02,126.97700000000000,31.8,77.0,83.8,75.5,85.1,5.97,5.7,2,Yes,73.1,72.9,31351.0,Low,410.26,9.01,8.0,1,38,3,98.3,63.1,92.9
Ponseti-201,CUST001,France,20254,SR004,10,480.1,112,Orthosis,Fixed,B,31.0,29.24,Monopoly,Europe,3397.19,4056.45,-0.1625,339.71876000000000,0.008928571428571430,80,70,19.16,480.1,107.8,52.1,62.0,82.9,70.1,3.15,7.6,9,No,60.3,86.1,48211.0,Medium,660.6,6.63,16.4,2,46,4,96.0,47.4,70.9
